Id,rating
802553,4
802554,4
802555,5
802556,4
802557,5
802558,1
802559,5
802560,5
802561,4
802562,4
802563,4
802564,4
802565,5
802566,4
802567,4
802568,5
802569,4
802570,4
802571,4
802572,4
802573,5
802574,1
802575,4
802576,5
802577,5
802578,4
802579,4
802580,1
802581,4
802582,5
802583,4
802584,4
802585,4
802586,4
802587,1
802588,4
802589,4
802590,4
802591,4
802592,4
802593,4
802594,4
802595,4
802596,4
802597,4
802598,4
802599,4
802600,5
802601,4
802602,4
802603,4
802604,4
802605,4
802606,4
802607,4
802608,4
802609,4
802610,4
802611,4
802612,4
802613,1
802614,4
802615,4
802616,4
802617,4
802618,1
802619,4
802620,1
802621,4
802622,1
802623,4
802624,4
802625,4
802626,4
802627,1
802628,4
802629,4
802630,4
802631,4
802632,4
802633,1
802634,4
802635,4
802636,4
802637,4
802638,4
802639,4
802640,4
802641,5
802642,4
802643,4
802644,4
802645,4
802646,4
802647,4
802648,4
802649,4
802650,4
802651,4
802652,4
802653,4
802654,4
802655,4
802656,4
802657,4
802658,4
802659,4
802660,4
802661,4
802662,4
802663,4
802664,4
802665,4
802666,4
802667,4
802668,4
802669,4
802670,4
802671,4
802672,4
802673,4
802674,4
802675,4
802676,4
802677,4
802678,1
802679,4
802680,4
802681,4
802682,4
802683,4
802684,4
802685,4
802686,4
802687,4
802688,4
802689,4
802690,1
802691,4
802692,4
802693,4
802694,4
802695,4
802696,4
802697,4
802698,4
802699,4
802700,4
802701,4
802702,4
802703,1
802704,4
802705,4
802706,4
802707,4
802708,4
802709,4
802710,5
802711,5
802712,4
802713,4
802714,5
802715,4
802716,4
802717,5
802718,4
802719,4
802720,4
802721,4
802722,1
802723,4
802724,1
802725,4
802726,4
802727,4
802728,4
802729,4
802730,5
802731,4
802732,4
802733,4
802734,4
802735,4
802736,4
802737,4
802738,4
802739,4
802740,4
802741,4
802742,4
802743,4
802744,5
802745,4
802746,5
802747,4
802748,4
802749,4
802750,4
802751,5
802752,5
802753,4
802754,4
802755,4
802756,4
802757,4
802758,5
802759,4
802760,4
802761,4
802762,4
802763,4
802764,4
802765,4
802766,4
802767,4
802768,4
802769,4
802770,4
802771,4
802772,5
802773,4
802774,4
802775,4
802776,4
802777,4
802778,4
802779,4
802780,4
802781,4
802782,4
802783,4
802784,4
802785,4
802786,5
802787,1
802788,4
802789,4
802790,4
802791,1
802792,4
802793,4
802794,4
802795,4
802796,4
802797,4
802798,4
802799,4
802800,4
802801,4
802802,4
802803,4
802804,1
802805,1
802806,4
802807,4
802808,4
802809,4
802810,4
802811,4
802812,4
802813,4
802814,4
802815,4
802816,4
802817,4
802818,5
802819,4
802820,4
802821,4
802822,4
802823,1
802824,4
802825,1
802826,1
802827,4
802828,4
802829,4
802830,4
802831,4
802832,1
802833,4
802834,4
802835,4
802836,4
802837,4
802838,4
802839,1
802840,4
802841,4
802842,4
802843,4
802844,1
802845,4
802846,4
802847,4
802848,4
802849,4
802850,4
802851,1
802852,4
802853,1
802854,4
802855,4
802856,1
802857,4
802858,4
802859,4
802860,4
802861,4
802862,1
802863,4
802864,4
802865,1
802866,4
802867,4
802868,4
802869,4
802870,1
802871,4
802872,4
802873,4
802874,4
802875,4
802876,1
802877,4
802878,4
802879,4
802880,4
802881,4
802882,1
802883,4
802884,4
802885,4
802886,4
802887,4
802888,4
802889,4
802890,4
802891,4
802892,4
802893,4
802894,4
802895,4
802896,4
802897,4
802898,4
802899,5
802900,1
802901,4
802902,4
802903,4
802904,4
802905,1
802906,4
802907,1
802908,4
802909,4
802910,4
802911,1
802912,4
802913,4
802914,1
802915,4
802916,1
802917,4
802918,4
802919,4
802920,4
802921,4
802922,5
802923,4
802924,4
802925,4
802926,4
802927,4
802928,4
802929,1
802930,4
802931,4
802932,4
802933,4
802934,4
802935,1
802936,4
802937,4
802938,4
802939,4
802940,1
802941,4
802942,4
802943,4
802944,4
802945,4
802946,4
802947,4
802948,4
802949,1
802950,5
802951,1
802952,4
802953,4
802954,4
802955,4
802956,4
802957,4
802958,1
802959,4
802960,4
802961,4
802962,4
802963,4
802964,1
802965,4
802966,4
802967,4
802968,4
802969,4
802970,4
802971,4
802972,4
802973,4
802974,4
802975,4
802976,4
802977,4
802978,4
802979,4
802980,4
802981,4
802982,4
802983,4
802984,4
802985,4
802986,1
802987,4
802988,1
802989,1
802990,4
802991,4
802992,4
802993,4
802994,4
802995,4
802996,5
802997,4
802998,4
802999,4
803000,4
803001,1
803002,4
803003,4
803004,4
803005,4
803006,4
803007,4
803008,4
803009,4
803010,4
803011,4
803012,4
803013,4
803014,4
803015,4
803016,4
803017,5
803018,5
803019,4
803020,4
803021,4
803022,4
803023,4
803024,4
803025,4
803026,1
803027,4
803028,1
803029,4
803030,5
803031,1
803032,5
803033,4
803034,4
803035,4
803036,5
803037,1
803038,4
803039,4
803040,5
803041,5
803042,1
803043,4
803044,4
803045,5
803046,4
803047,4
803048,4
803049,4
803050,1
803051,4
803052,1
803053,4
803054,4
803055,4
803056,4
803057,4
803058,4
