Id,rating
802553,5
802554,4
802555,5
802556,5
802557,5
802558,4
802559,5
802560,5
802561,5
802562,5
802563,4
802564,4
802565,4
802566,4
802567,4
802568,4
802569,4
802570,4
802571,4
802572,4
802573,4
802574,4
802575,4
802576,4
802577,4
802578,4
802579,4
802580,4
802581,4
802582,4
802583,4
802584,4
802585,4
802586,4
802587,4
802588,4
802589,4
802590,4
802591,4
802592,4
802593,4
802594,4
802595,4
802596,4
802597,4
802598,4
802599,4
802600,4
802601,4
802602,4
802603,4
802604,4
802605,4
802606,4
802607,3
802608,4
802609,4
802610,4
802611,4
802612,4
802613,4
802614,4
802615,4
802616,4
802617,4
802618,4
802619,4
802620,4
802621,4
802622,4
802623,4
802624,4
802625,4
802626,4
802627,4
802628,4
802629,4
802630,4
802631,4
802632,4
802633,4
802634,4
802635,4
802636,4
802637,4
802638,4
802639,4
802640,4
802641,4
802642,4
802643,4
802644,4
802645,4
802646,4
802647,4
802648,4
802649,4
802650,4
802651,4
802652,4
802653,4
802654,4
802655,4
802656,4
802657,4
802658,4
802659,4
802660,4
802661,4
802662,4
802663,4
802664,4
802665,4
802666,4
802667,4
802668,4
802669,4
802670,4
802671,4
802672,4
802673,4
802674,4
802675,4
802676,4
802677,4
802678,4
802679,4
802680,4
802681,4
802682,4
802683,4
802684,4
802685,4
802686,4
802687,4
802688,4
802689,4
802690,4
802691,4
802692,4
802693,4
802694,4
802695,4
802696,4
802697,4
802698,4
802699,4
802700,4
802701,4
802702,4
802703,4
802704,4
802705,4
802706,4
802707,4
802708,4
802709,4
802710,4
802711,4
802712,4
802713,4
802714,4
802715,4
802716,4
802717,4
802718,4
802719,4
802720,4
802721,4
802722,4
802723,4
802724,4
802725,4
802726,4
802727,4
802728,4
802729,4
802730,4
802731,4
802732,4
802733,4
802734,4
802735,4
802736,4
802737,4
802738,4
802739,4
802740,4
802741,4
802742,4
802743,4
802744,4
802745,4
802746,4
802747,4
802748,4
802749,4
802750,4
802751,4
802752,4
802753,4
802754,4
802755,4
802756,4
802757,4
802758,4
802759,4
802760,4
802761,4
802762,4
802763,4
802764,4
802765,4
802766,4
802767,4
802768,4
802769,4
802770,4
802771,4
802772,4
802773,4
802774,4
802775,4
802776,4
802777,4
802778,4
802779,4
802780,4
802781,4
802782,4
802783,4
802784,4
802785,4
802786,4
802787,4
802788,4
802789,4
802790,4
802791,4
802792,4
802793,4
802794,4
802795,4
802796,4
802797,4
802798,4
802799,4
802800,4
802801,4
802802,4
802803,4
802804,4
802805,4
802806,4
802807,4
802808,4
802809,4
802810,4
802811,4
802812,4
802813,4
802814,4
802815,4
802816,1
802817,1
802818,1
802819,1
802820,4
802821,4
802822,4
802823,4
802824,4
802825,4
802826,4
802827,4
802828,4
802829,4
802830,4
802831,4
802832,4
802833,4
802834,4
802835,4
802836,4
802837,4
802838,4
802839,4
802840,4
802841,4
802842,4
802843,4
802844,4
802845,4
802846,4
802847,4
802848,4
802849,4
802850,4
802851,4
802852,4
802853,4
802854,4
802855,4
802856,4
802857,4
802858,4
802859,4
802860,4
802861,4
802862,4
802863,4
802864,4
802865,4
802866,4
802867,4
802868,4
802869,4
802870,4
802871,4
802872,4
802873,4
802874,4
802875,4
802876,4
802877,4
802878,4
802879,4
802880,4
802881,4
802882,4
802883,4
802884,4
802885,4
802886,4
802887,4
802888,4
802889,4
802890,4
802891,4
802892,4
802893,1
802894,1
802895,1
802896,1
802897,1
802898,1
802899,1
802900,1
802901,1
802902,1
802903,1
802904,1
802905,1
802906,1
802907,1
802908,1
802909,1
802910,1
802911,1
802912,1
802913,1
802914,1
802915,1
802916,1
802917,1
802918,1
802919,1
802920,1
802921,1
802922,1
802923,1
802924,1
802925,1
802926,1
802927,1
802928,1
802929,1
802930,1
802931,1
802932,1
802933,1
802934,1
802935,4
802936,4
802937,4
802938,4
802939,4
802940,4
802941,4
802942,4
802943,4
802944,4
802945,4
802946,4
802947,4
802948,4
802949,4
802950,4
802951,4
802952,4
802953,4
802954,4
802955,4
802956,4
802957,4
802958,4
802959,4
802960,4
802961,4
802962,4
802963,4
802964,4
802965,4
802966,4
802967,4
802968,4
802969,4
802970,4
802971,4
802972,4
802973,4
802974,4
802975,4
802976,4
802977,4
802978,4
802979,4
802980,4
802981,4
802982,4
802983,4
802984,4
802985,4
802986,4
802987,4
802988,4
802989,4
802990,4
802991,4
802992,4
802993,4
802994,4
802995,4
802996,4
802997,4
802998,4
802999,4
803000,4
803001,4
803002,4
803003,4
803004,4
803005,4
803006,5
803007,4
803008,4
803009,1
803010,5
803011,4
803012,4
803013,1
803014,4
803015,4
803016,5
803017,4
803018,5
803019,4
803020,4
803021,5
803022,4
803023,4
803024,5
803025,4
803026,4
803027,4
803028,4
803029,4
803030,4
803031,4
803032,1
803033,4
803034,4
803035,4
803036,1
803037,4
803038,4
803039,4
803040,1
803041,5
803042,4
803043,4
803044,4
803045,4
803046,1
803047,4
803048,4
803049,4
803050,4
803051,4
803052,4
803053,4
803054,4
803055,4
803056,4
803057,4
803058,4
803059,4
803060,4
803061,4
803062,4
803063,4
803064,4
803065,4
803066,4
803067,4
803068,4
803069,4
803070,4
803071,4
803072,4
803073,4
803074,4
803075,4
803076,4
803077,4
803078,4
803079,4
803080,4
803081,4
803082,4
803083,4
803084,4
803085,4
803086,4
803087,4
803088,4
803089,4
803090,4
803091,4
803092,4
803093,4
803094,4
803095,4
803096,4
803097,4
803098,4
803099,4
803100,4
803101,4
803102,4
803103,4
803104,4
803105,4
803106,4
803107,4
803108,4
803109,4
803110,4
803111,4
803112,4
803113,4
803114,4
803115,4
803116,4
803117,4
803118,4
803119,4
803120,4
803121,4
803122,4
803123,4
803124,4
803125,4
803126,4
803127,4
803128,4
803129,4
803130,4
803131,4
803132,4
803133,4
803134,4
803135,4
803136,4
803137,4
803138,4
803139,4
803140,4
803141,4
803142,4
803143,4
803144,4
803145,4
803146,4
803147,4
803148,4
803149,4
803150,4
803151,4
803152,4
803153,3
803154,4
803155,4
803156,4
803157,4
803158,4
803159,4
803160,4
803161,4
803162,4
803163,4
803164,4
803165,4
803166,4
803167,4
803168,4
803169,4
803170,4
803171,4
803172,4
803173,4
803174,4
803175,4
803176,4
803177,4
803178,4
803179,4
803180,4
803181,4
803182,4
803183,4
803184,4
803185,4
803186,4
803187,4
803188,4
803189,4
803190,4
803191,4
803192,4
803193,4
803194,4
803195,4
803196,4
803197,4
803198,4
803199,4
803200,4
803201,1
803202,1
803203,1
803204,1
803205,1
803206,1
803207,1
803208,1
803209,1
803210,1
803211,1
803212,1
803213,1
803214,1
803215,1
803216,1
803217,1
803218,4
803219,4
803220,4
803221,4
803222,4
803223,4
803224,4
803225,4
803226,4
803227,4
803228,4
803229,4
803230,4
803231,4
803232,4
803233,4
803234,4
803235,4
803236,4
803237,4
803238,4
803239,4
803240,4
803241,4
803242,4
803243,4
803244,4
803245,4
803246,4
803247,4
803248,4
803249,4
803250,4
803251,4
803252,4
803253,4
803254,4
803255,4
803256,4
803257,4
803258,4
803259,4
803260,4
803261,4
803262,4
803263,4
803264,4
803265,4
803266,4
803267,4
803268,4
803269,4
803270,4
803271,4
803272,4
803273,4
803274,4
803275,4
803276,4
803277,4
803278,4
803279,4
803280,4
803281,4
803282,4
803283,4
803284,4
803285,4
803286,4
803287,4
803288,4
803289,4
803290,4
803291,4
803292,4
803293,4
803294,4
803295,4
803296,4
803297,4
803298,4
803299,4
803300,4
803301,4
803302,4
803303,4
803304,4
803305,4
803306,4
803307,4
803308,4
803309,4
803310,4
803311,4
803312,4
803313,4
